GEO,SEX,CAS,LMS,COC,AGE,TIME,VALUE,FLAGS,FOOTNOTES
FR24,F,POP,REP,TOTAL,Y50-64,2011,0,,
FR24,F,POP,REP,TOTAL,Y65-84,2011,0,,
FR24,F,POP,REP,TOTAL,Y_GE85,2011,0,,
FR24,F,POP,SIN,TOTAL,Y15-29,2011,186846,,
FR24,F,POP,SIN,TOTAL,Y30-49,2011,110101,,
FR24,F,POP,SIN,TOTAL,Y50-64,2011,26529,,
FR24,F,POP,SIN,TOTAL,Y65-84,2011,12963,,
FR24,F,POP,SIN,TOTAL,Y_GE85,2011,3884,,
FR24,F,POP,UNK,TOTAL,Y15-29,2011,1,u,
FR24,F,POP,UNK,TOTAL,Y30-49,2011,1,u,
FR24,F,POP,UNK,TOTAL,Y50-64,2011,0,,
FR24,F,POP,UNK,TOTAL,Y65-84,2011,0,,
FR24,F,POP,UNK,TOTAL,Y_GE85,2011,0,,
FR24,F,POP,WID,TOTAL,Y15-29,2011,138,,
FR24,F,POP,WID,TOTAL,Y30-49,2011,3966,,
FR24,F,POP,WID,TOTAL,Y50-64,2011,19577,,
FR24,F,POP,WID,TOTAL,Y65-84,2011,81224,,
FR24,F,POP,WID,TOTAL,Y_GE85,2011,38496,,
FR24,M,POP,DISREP,TOTAL,Y15-29,2011,0,,
FR24,M,POP,DISREP,TOTAL,Y30-49,2011,0,,
FR24,M,POP,DISREP,TOTAL,Y50-64,2011,0,,
FR24,M,POP,DISREP,TOTAL,Y65-84,2011,0,,
FR24,M,POP,DISREP,TOTAL,Y_GE85,2011,0,,
FR24,M,POP,DIV,TOTAL,Y15-29,2011,470,,
FR24,M,POP,DIV,TOTAL,Y30-49,2011,21993,,
FR24,M,POP,DIV,TOTAL,Y50-64,2011,30286,,
FR24,M,POP,DIV,TOTAL,Y65-84,2011,10794,,
FR24,M,POP,DIV,TOTAL,Y_GE85,2011,463,,
FR24,M,POP,DTHREP,TOTAL,Y15-29,2011,0,,
FR24,M,POP,DTHREP,TOTAL,Y30-49,2011,0,,
FR24,M,POP,DTHREP,TOTAL,Y50-64,2011,0,,
FR24,M,POP,DTHREP,TOTAL,Y65-84,2011,0,,
FR24,M,POP,DTHREP,TOTAL,Y_GE85,2011,0,,
FR24,M,POP,MAR,TOTAL,Y15-29,2011,14006,,
FR24,M,POP,MAR,TOTAL,Y30-49,2011,173280,,
FR24,M,POP,MAR,TOTAL,Y50-64,2011,179588,,
FR24,M,POP,MAR,TOTAL,Y65-84,2011,137465,,
FR24,M,POP,MAR,TOTAL,Y_GE85,2011,14615,,
FR24,M,POP,REP,TOTAL,Y15-29,2011,0,,
FR24,M,POP,REP,TOTAL,Y30-49,2011,0,,
FR24,M,POP,REP,TOTAL,Y50-64,2011,0,,
FR24,M,POP,REP,TOTAL,Y65-84,2011,0,,
FR24,M,POP,REP,TOTAL,Y_GE85,2011,0,,
FR24,M,POP,SIN,TOTAL,Y15-29,2011,205040,,
FR24,M,POP,SIN,TOTAL,Y30-49,2011,135245,,
FR24,M,POP,SIN,TOTAL,Y50-64,2011,36118,,
FR24,M,POP,SIN,TOTAL,Y65-84,2011,13720,,
FR24,M,POP,SIN,TOTAL,Y_GE85,2011,1349,,
FR24,M,POP,UNK,TOTAL,Y15-29,2011,2,u,
FR24,M,POP,UNK,TOTAL,Y30-49,2011,1,u,
FR24,M,POP,UNK,TOTAL,Y50-64,2011,0,,
FR24,M,POP,UNK,TOTAL,Y65-84,2011,0,,
FR24,M,POP,UNK,TOTAL,Y_GE85,2011,0,,
FR24,M,POP,WID,TOTAL,Y15-29,2011,43,u,
FR24,M,POP,WID,TOTAL,Y30-49,2011,1102,,
FR24,M,POP,WID,TOTAL,Y50-64,2011,5361,,
FR24,M,POP,WID,TOTAL,Y65-84,2011,17431,,
FR24,M,POP,WID,TOTAL,Y_GE85,2011,8136,,
FR25,F,POP,DISREP,TOTAL,Y15-29,2011,0,,
FR25,F,POP,DISREP,TOTAL,Y30-49,2011,0,,
FR25,F,POP,DISREP,TOTAL,Y50-64,2011,0,,
FR25,F,POP,DISREP,TOTAL,Y65-84,2011,0,,
FR25,F,POP,DISREP,TOTAL,Y_GE85,2011,0,,
FR25,F,POP,DIV,TOTAL,Y15-29,2011,678,,
FR25,F,POP,DIV,TOTAL,Y30-49,2011,16409,,
FR25,F,POP,DIV,TOTAL,Y50-64,2011,19915,,
FR25,F,POP,DIV,TOTAL,Y65-84,2011,8400,,
FR25,F,POP,DIV,TOTAL,Y_GE85,2011,824,,
FR25,F,POP,DTHREP,TOTAL,Y15-29,2011,0,,
FR25,F,POP,DTHREP,TOTAL,Y30-49,2011,0,,
FR25,F,POP,DTHREP,TOTAL,Y50-64,2011,0,,
FR25,F,POP,DTHREP,TOTAL,Y65-84,2011,0,,
FR25,F,POP,DTHREP,TOTAL,Y_GE85,2011,0,,
FR25,F,POP,MAR,TOTAL,Y15-29,2011,13372,,
FR25,F,POP,MAR,TOTAL,Y30-49,2011,108228,,
FR25,F,POP,MAR,TOTAL,Y50-64,2011,103514,,
